Date,Location,Hotel_Size,Occupancy_Rate,Has_Pool,Has_Spa,Has_Garden,Water_Saving_Measures,Season,Average_Length_of_Stay,Water_Usage
2021-03-11,Countryside,Extra-large,63.207311056703574,False,False,True,Greywater Recycling,Winter,1.7056013825652405,12024.912338464741
2021-03-11,City,Medium,16.5561270308801,False,False,False,Greywater Recycling,Summer,11.907750055609444,3966.593744189868
2021-03-11,,,31.474869945846283,True,True,,Low-Flow Faucets,Spring,2.754344426563293,12659.892602407128
2021-03-11,Countryside,Small,73.33602826844044,True,,,Greywater Recycling,,5.940746210842603,10506.521505993747
2021-03-12,City,Small,73.83823830270201,True,True,,Low-Flow Faucets,Summer,7.018654450240079,11334.198697296446
2021-03-12,Countryside,Small,98.70087503089592,False,False,True,Greywater Recycling,Winter,4.053676657388643,11339.603697884737
2021-03-12,Suburb,Extra-large,62.69748784023066,False,,True,Rainwater Harvesting,Winter,12.499390600345414,7023.881432761013
2021-03-12,Countryside,Extra-large,89.95451880859055,False,False,True,Greywater Recycling,Spring,10.564869052007209,13565.728907705243
2021-03-12,Countryside,Small,5.458031058952706,True,,False,None,Spring,1.3658727121485044,2296.74532195996
2021-03-12,City,Small,56.62223448106485,True,False,True,Rainwater Harvesting,Fall,6.7025495892979,14401.38786734159
2021-03-12,Suburb,Large,91.98480247021956,False,True,False,,Spring,2.791082359048371,597.341750576509
2021-03-12,,Small,28.724423517819552,True,False,True,Greywater Recycling,Summer,9.3063174997726,11639.947953520657
2021-03-12,Suburb,Small,15.48766037942092,True,False,False,Low-Flow Faucets,Fall,7.412381139108835,3198.922180828542
2021-03-13,Suburb,Small,35.051016009676026,True,,True,None,Spring,11.51063288645432,1436.4428912266667
2021-03-13,Suburb,Small,79.22361672442688,False,False,True,None,Winter,9.893901404957532,7739.6185416020935
2021-03-13,Suburb,Medium,8.470081468131562,True,True,,Rainwater Harvesting,Summer,11.640896408893164,7949.657760648901
2021-03-13,Suburb,Small,60.03386583690844,True,True,False,Greywater Recycling,Summer,12.392312601615822,10196.138792088479
2021-03-13,Suburb,Medium,13.563160584427647,False,False,True,Low-Flow Faucets,Spring,3.34831022819444,9120.665999944264
2021-03-13,City,Extra-large,43.553244154724624,True,True,False,Rainwater Harvesting,Winter,8.586251495269593,953.1356758098298
2021-03-13,Countryside,Medium,96.59770015516557,True,True,True,None,Spring,3.06940190967894,3463.6140072100306
2021-03-13,City,Large,19.514426984688647,False,False,False,Low-Flow Faucets,Spring,4.163533575299353,10882.117111052852
